sampleid	FTG1	FTG10	FTG2	FTG3	FTG4	FTG5	FTG6	FTG7	FTG8	FTG9	FWT1	FWT2	FWT3	FWT4	FWT5	FWT6	FWT7	FWT8	FWT9
Taurodeoxycholic acid (TDCA)	0.093429686	0.030753579	0.035146013	0.116172614	0.148054767	0.045208157	0.138595099	0.063738988	0.047663883	0.071731094	0.03198085	0.077490777	0.034081332	0.017551438	0.091257879	0.042668095	0.021539097	0.039997568	0.060320015
Taurohyodeoxycholic acid(THDCA)	0.045674204	0.008274469	0.01295699	0.017613131	0.016304953	0.015564318	0.071312877	0.014355161	0.021001175	0.012845305	0.004391918	0.022343874	0.01138963	0.005370494	0.018542467	0.014136621	0.002777528	0.018427325	0.006580752
Taurolithocholic acid (TLCA)	0.004864323	0.001873027	0.002149092	0.004746119	0.003347318	0.002610103	0.014325508	0.002882944	0.002896149	0.005848749	0.001240372	0.004311695	0.002728503	0.00155964	0.005200707	0.003074181	0.000629664	0.003187319	0.003392364
Omega-muricholic acid (w-MCA)	0.002834994	0.001647919	0.001412772	0.002956705	0.006322209	0.001210215	0.001635798	0.010208678	0.005267479	0.013187096	0.000708442	0.004408896	0.001858957	0.00112881	0.001103349	0.000753397	0.001016497	0.001624082	0.001507974
Ribonolactone	0.00288833	0.002515025	0.002702662	0.005710314	0.004144035	0.002113133	0.002803282	0.004319394	0.004286472	0.009692058	0.001502238	0.003618595	0.002781869	0.001634884	0.001397879	0.001089336	0.001771353	0.002138639	0.007209214
10,13-Nonadecadienoic acid	0.433213713	0.400003799	0.608320934	0.341504377	0.285595468	0.222855564	0.230516998	0.666586184	0.667529089	0.486186548	0.566854759	0.729531764	0.556134518	0.526689156	0.809460857	0.722004823	0.878477192	0.38360597	0.844523936
12-Tridecenoic acid	3.288485089	3.901233887	1.75192921	1.918002788	0.75914514	0.558870702	3.011423603	3.673134635	4.588942276	1.296257157	1.908799577	7.616295399	1.900012341	2.962230466	1.611364799	2.15796678	4.7697569	1.913660846	1.630102349
2-Hydroxy-3-methylbutyric acid	0.000625692	0.001081216	0.002950999	0.000514239	0.000289908	0.000214956	0.000168798	0.002062946	0.003110565	0.00151899	0.000332803	0.002591957	0.001720287	0.001132789	0.000929972	0.001414375	0.000683771	0.000575703	0.00074716
2-Hydroxycaproic acid	0.044280845	0.023616459	0.048916648	0.025715809	0.011830469	0.022654817	0.024546752	0.043109707	0.037691907	0.08578257	0.027760496	0.052551275	0.065446506	0.023550303	0.016343014	0.050856999	0.041509595	0.030880548	0.034578363
Azelaic acid	0.003795817	0.003803666	0.007939246	0.002289679	0.002449614	0.001657456	0.001480162	0.00542761	0.010677674	0.003328893	0.005834939	0.005347904	0.010703191	0.00835922	0.015784619	0.00992476	0.011883204	0.002693403	0.017518529
Nonadeca-10Z-enoic acid	1.862319047	1.916285715	4.111086649	3.85541113	2.43724094	1.888479264	1.515279233	2.004192218	3.655157957	2.284656077	3.114438148	3.036370308	2.475335248	3.949036379	2.608790186	1.999242583	2.43485051	3.581578139	4.72098489
Palmitelaidic acid	1.759708826	1.856801386	2.11599097	1.852157997	4.172761491	4.357240887	2.490015538	1.779683658	4.003451037	2.79966981	2.759861947	1.751294897	2.445520729	4.216638546	3.02332885	3.547745927	2.95754153	3.237110333	4.42351407
Petroselinic acid	133.007088	146.6029462	184.3626479	232.911474	172.2883456	118.4083484	93.53270189	144.1497541	233.5545704	126.6148504	171.9724339	132.2544397	140.9486489	190.0945609	137.840647	143.5805354	145.0549573	165.6105325	170.5953602
Sebacic acid	0.000855204	0.001813078	0.00129203	0.0006606	0.001019781	0.000777727	0.000923689	0.000661922	0.000993218	0.001008474	0.001488944	0.000595553	0.002124507	0.001068562	0.002069526	0.001911621	0.00204618	0.000994705	0.002990251
