sampleid	FTG1	FTG10	FTG2	FTG3	FTG4	FTG5	FTG6	FTG7	FTG8	FTG9	FWT1	FWT2	FWT3	FWT4	FWT5	FWT6	FWT7	FWT8	FWT9
L-Aspartic acid	0.001279642	0.001287726	0.000281458	0.000222649	0.000153592	0.000320773	0.000678331	0.001781294	0.000560534	0.000860947	0.000423475	0.001151166	0.000198806	0.000364318	0.000726919	9.22E-05	8.46E-05	0.000182935	0.000334922
L-Histidine	1.624546777	1.28831953	0.946508443	0.871005888	0.708136353	0.995212163	1.594557961	1.090808961	0.763627248	1.369523609	0.965588417	1.853654487	1.5822971	0.799551731	1.320302979	1.078682567	1.682056735	1.646924133	0.773321478
L-Homocitrulline	0.111267079	0.15871053	0.117957843	0.094798646	0.115343139	0.143499889	0.146215983	0.266032437	0.154665463	0.344275153	0.106308071	0.141457477	0.126222103	0.175697388	0.124755328	0.217661533	0.197584796	0.17314017	0.125916349
L-Isoleucine	5.023161715	5.350424041	2.982835287	2.410019099	3.644840136	6.854627944	5.995225374	3.302794583	2.030845391	4.218351802	3.66287272	4.943672743	4.815863413	2.656509278	6.105265951	5.617403697	4.519946647	6.919493613	3.059372374
L-Leucine	33.93046161	36.82830115	15.87815805	12.71275684	18.47899427	31.25969993	40.59119926	20.5923969	12.3769752	21.18625315	16.72542594	34.34497718	27.94299332	21.66047193	34.81827904	25.73954005	35.38977427	31.01145264	18.40190876
L-Lysine	9.902064727	14.24289208	8.291970763	5.678170923	7.736693612	12.07195318	17.12927268	11.7349725	3.692065984	9.900944751	10.46607899	10.61264818	10.63022459	9.545027929	9.019936215	6.547193265	10.82680598	8.060311624	9.473802593
L-Norleucine	0.435300386	0.462573855	0.22555477	0.194003164	0.256180848	0.532181517	0.531175178	0.305857941	0.159295344	0.326350278	0.289307777	0.400440061	0.430850794	0.315386109	0.536812067	0.444957449	0.33789975	0.497977753	0.328383282
L-Phenylalanine	172.6370181	221.6156567	65.32933823	68.82949747	101.1742666	160.3595039	184.1477793	133.3633103	83.87862492	150.4158133	67.61200227	225.2382239	118.7500108	108.6616069	200.8901403	232.5807826	211.1279185	185.0077764	134.5470764
L-Proline	67.42932223	43.17213214	53.80673648	69.44304679	42.7513024	64.08360584	80.79395016	47.48636674	37.32247591	131.4159164	42.08598237	74.50261931	91.32269142	47.73463965	55.90791184	61.9147827	38.2620294	51.47289605	63.66326833
L-Serine	4.843548847	4.174269778	3.133848625	3.021729742	2.675017612	4.606455042	5.978539613	3.565813288	1.987206444	2.487301065	3.297690956	4.311926351	3.620702649	2.09743505	4.778815756	2.695716306	1.723885154	3.090837707	3.703448168
L-threonine	4.013800185	4.214478344	2.4993675	1.82421342	2.311434411	3.6677163	4.66206901	2.918649849	1.58582733	2.348330892	2.434252609	2.973485807	2.898926284	2.152217473	3.273990803	2.098959641	3.588212672	2.246237663	2.902493149
L-Tryptophan	15.82802378	14.36683213	5.651716436	4.510188334	3.651817531	9.275166939	14.12620287	9.186576367	4.434738696	7.146735149	5.485500398	12.93537204	9.249084725	7.465236829	8.61531511	4.727240542	4.033189769	5.150789389	5.805015666
L-Tyrosine	12.27232333	14.0251973	4.574275805	3.807814095	5.373820213	10.67841004	14.84631822	9.189914953	3.471110957	8.434088741	6.228439625	10.43862671	9.204731819	5.50988776	9.391970936	7.541909268	7.690885105	8.130538755	6.650414203
L-Valine	2.896566689	3.015786044	1.304692268	1.21992561	1.626684281	2.605675344	3.743500872	1.681440184	1.17911739	1.652087982	1.178933649	2.887007974	2.212324118	1.402189873	2.835901678	2.355541426	2.843750939	2.566028611	1.617009308
Methylcysteine	0.00017009	0.000105802	9.57E-05	0.000131251	9.55E-05	0.000125037	7.46E-05	0.000139032	9.17E-05	0.000132051	8.27E-05	6.91E-05	0.00013503	8.19E-05	0.0001156	0.000154532	0.000140279	0.000112732	0.000111517
N-Acetyl-L-alanine	0.625844273	0.342711568	0.31588417	0.387088303	0.187413516	0.301789841	0.401186572	1.051737081	0.582154678	1.462100185	0.204200469	0.701332093	0.353662892	0.297845629	0.270798063	0.607047147	1.783830796	0.794332458	0.284786969
N-Acetylglutamine	0.140947047	0.098206665	0.1614917	0.116209136	0.110760552	0.097122361	0.064274058	0.217486528	0.104620128	0.130688881	0.081810357	0.115660482	0.162348713	0.235586821	0.058001684	0.069759126	0.13472837	0.091183552	0.241394252
N-Acetylserine	6.28E-06	5.49E-06	7.19E-06	7.48E-06	5.63E-06	8.61E-06	9.22E-06	7.68E-06	1.26E-05	7.99E-06	7.93E-06	2.37E-06	7.64E-06	7.12E-06	7.41E-06	8.70E-06	9.80E-06	7.34E-06	1.05E-05
Sarcosine	9.387067035	10.25134531	12.49230115	13.02124321	22.73635168	31.30715017	27.3216049	18.27365936	4.607934819	15.82573729	15.43737957	8.929500976	20.65639009	12.63904457	11.81909491	10.38670478	6.9881662	10.83112815	11.64638847
L-Homoserine	5.264942082	4.32900547	3.725465939	3.77055649	3.106838517	4.822307052	6.805780921	3.411290838	1.745237742	2.82674915	3.348199446	4.054961574	4.282864794	2.363872325	4.32687522	3.225475472	2.296503668	2.787318485	4.287972042
Norvaline	3.791320158	3.926980878	1.691924411	1.632874047	2.157683472	3.239859758	5.068602414	2.16155658	1.559505471	2.279560563	1.552514931	3.761404431	2.995630248	1.827077162	3.92747992	3.18775525	3.782317362	3.455283941	2.054349207
L-Cysteine	0.002979237	0.001334592	0.00545295	0.009339105	0.009234575	0.006386205	0.004041684	0.008040248	0.003177827	0.008999796	0.004484369	0.003797991	0.00968362	0.003711046	0.004805501	0.004902975	0.005169549	0.004625917	0.00367893
Putrecine	0.10157781	0.086153228	0.178252012	0.426289826	0.373728665	0.242957795	0.198352164	0.228858855	0.11427264	0.165718513	0.186095305	0.127243935	0.190386894	0.206166512	0.096057589	0.796585287	1.40604136	0.595087121	0.122884268
Hydroxypyruvic acid	0.170560896	0.090627577	0.779651887	0.280168183	0.564933211	0.265840499	0.096219667	0.117773736	0.206620071	0.243400983	0.218922014	0.130583126	0.138296572	0.348427176	0.506660926	0.331828375	1.30206341	0.442678448	0.279722062
N-Acetyl-D-glucosamine	0.394605609	0.367759159	0.354682368	0.505828316	0.647719239	0.404542396	0.294297609	0.294213804	0.222517107	0.361456904	0.393326536	0.179996582	0.36479947	0.648916374	0.266459871	0.58336221	0.529553851	0.464038963	0.303893485
D-Glucose	9.95E-05	0.000385168	0.000426067	0.000118152	8.44E-05	0.000227178	7.12E-05	0.001244843	0.00015089	0.000523392	0.000243379	0.000221348	0.000116579	0.000402104	0.000158578	9.56E-05	0.000355536	6.92E-05	0.00062532
D-Maltose	1.110037928	0.134737326	0.726273458	0.662303286	0.242113759	0.436876809	0.317124055	1.511286257	0.75952637	0.537278377	1.196265523	1.431174022	0.987881979	0.739260902	0.60293987	0.991782285	1.162457586	0.671755575	0.239027563
Erythronic acid	0.521150943	0.650378606	0.479811422	0.601716632	0.678182058	0.520289684	0.438421605	0.770384494	0.734679003	0.729981111	0.765319183	0.484287032	0.362974536	0.909568571	0.545406151	0.494683477	0.487805224	0.567429595	0.362685734
Glyceric acid	0.523785936	0.582429303	0.580059336	0.448634038	0.292474503	0.456278765	0.48142215	0.599897059	0.511447943	0.457551871	0.472167497	0.316282227	0.361511182	0.583439468	0.832866225	0.463098858	0.256491629	0.736714721	0.375851203
Rhamnose	9.59E-05	8.44E-05	9.81E-05	9.17E-05	9.60E-05	7.21E-05	8.57E-05	6.57E-05	8.56E-05	9.72E-05	7.23E-05	5.29E-05	9.60E-05	6.45E-05	7.42E-05	0.000194961	0.00012756	0.000206076	6.44E-05
Ribonic acid	0.015906748	0.004625944	0.009412378	0.009151126	0.005985043	0.01159432	0.00507984	0.018131427	0.015817176	0.026134821	0.007469404	0.016394099	0.004743705	0.023062109	0.005194239	0.011480323	0.016734115	0.009484211	0.008041738
Tartaric acid	0.001342769	0.001078579	0.001953276	0.003276697	0.003413735	0.002776091	0.002153378	0.002101766	0.001121048	0.001788496	0.003791653	0.002370593	0.002365934	0.001913073	0.00299945	0.005049213	0.003966635	0.003475895	0.002527848
Trehalose	0.195998944	0.16884486	0.276724282	0.142269201	0.216708963	0.236782347	0.116212978	0.220420858	0.36792226	0.486227753	0.276543901	0.646421301	0.475429081	0.251122172	0.304049195	1.071003189	0.669526261	1.113296093	0.170883727
Aminocaproic acid	0.180254402	0.143936106	0.227513114	0.325964474	0.194031996	0.158858317	0.188281545	0.266679532	0.209027795	0.149421444	0.251857544	0.157359187	0.179665232	0.261248078	0.26490034	0.608778143	2.551232558	0.564674975	0.265444509
Citramalic acid	0.029773116	0.028838304	0.067401136	0.080373118	0.066944008	0.068148627	0.037441401	0.069591931	0.06352395	0.049077882	0.079792355	0.025645162	0.049643713	0.135370706	0.035769804	0.059975259	0.132093445	0.055826127	0.068191776
Methylsuccinic acid	0.361809805	0.144090249	0.473731092	0.298138866	0.841819066	0.441415489	0.180203514	0.244076849	0.461993119	1.131971716	0.247902999	0.495848186	0.641501535	0.181780048	0.378758488	0.44198098	1.781919894	1.823228732	0.299294928
Citric acid	0.408641503	0.10204602	0.278212587	0.229542863	0.122265195	0.063197956	0.099450416	0.410896488	0.260427562	0.040684472	0.652823791	0.100532387	0.11358368	0.684174721	0.215098879	0.158178514	0.578001214	0.141033363	2.305984466
D-2-Hydroxyglutaric acid	0.724571634	1.087968877	1.83845073	0.819417234	0.504867195	0.775676448	0.668894534	1.246456054	1.44906272	0.880600766	1.192733783	0.56055483	0.647219974	2.904898933	0.859665257	0.785342534	6.601662197	0.724020653	1.687948156
Glutaconic acid	0.028561169	0.031554871	0.067526376	0.079095568	0.085165861	0.075070655	0.044278734	0.073168973	0.040392617	0.056766731	0.085181031	0.031166997	0.060303234	0.128051544	0.039778979	0.17013843	0.39859134	0.150656245	0.069255641
Glutaric acid	1.124693826	0.585508167	2.200830299	2.029335264	5.926681339	3.464907299	1.160533721	1.488075789	1.46398101	4.23368703	1.53825911	1.83501017	2.780262528	1.070415023	1.132318306	2.525492572	4.504349855	6.412720496	1.115775555
Glycolic acid	0.003866835	0.003889523	0.004819988	0.003944459	0.003559706	0.003151462	0.002950245	0.004019678	0.00509367	0.004772782	0.004047859	0.004170334	0.003205894	0.005055594	0.00390972	0.006463248	0.005867089	0.00514123	0.003368078
Itaconic acid	0.064908633	0.070695701	0.157526586	0.187845614	0.201352656	0.200313704	0.100912723	0.163883317	0.092293186	0.141496476	0.193410878	0.083919335	0.138649408	0.260164957	0.093578169	0.453344512	1.074175452	0.396840768	0.15344725
L-Malic acid	1.404376925	0.486283405	1.241092122	1.774298586	0.997826949	0.569831809	0.576501125	1.617426584	1.101674834	0.879923248	2.186329268	0.465661056	0.851796042	0.825656857	0.325233823	0.415182246	0.475865896	0.585131238	0.591280174
Maleic acid	1.947071759	1.584975384	0.843772087	1.872781274	1.966966023	1.681182256	1.466485981	1.997461917	1.181762325	1.839683769	1.250177239	0.589826555	1.686070868	1.246509626	0.537333649	1.587736812	1.441286613	1.66812636	0.443230093
Oxalic acid	0.000779926	0.000349388	0.001078612	0.001859409	0.001305749	0.000772529	0.000745995	0.000829006	0.000675828	0.0004125	0.001907758	0.000538303	0.000705342	0.001013777	0.000295485	0.001426041	0.002042455	0.001040081	0.000440916
Succinic acid	0.503279146	0.17131561	0.464524152	0.493385757	0.100216626	0.165034895	0.087579484	0.760322632	1.200153613	1.107925909	0.350383306	0.223902163	0.558573341	0.417333878	0.261175391	0.200979338	0.638497477	0.6405669	0.31868992
Adenosine monophosphate	1.89E-05	1.14E-05	2.12E-05	8.34E-06	1.54E-05	5.06E-06	5.52E-06	9.48E-06	3.99E-05	1.79E-05	3.34E-05	4.08E-06	8.77E-06	1.76E-05	6.93E-06	2.90E-05	7.77E-05	7.67E-06	1.37E-05
Guanosine monophosphate	1.05E-05	4.52E-06	4.49E-05	4.76E-06	1.04E-05	1.02E-05	2.57E-06	7.66E-06	2.55E-05	2.03E-05	2.99E-05	2.27E-05	3.22E-05	1.03E-05	1.05E-05	4.18E-05	9.47E-05	3.32E-05	1.39E-05
Quinic acid	0.038274297	0.021125154	0.070476238	0.094159032	0.076192388	0.062643029	0.039563958	0.217324397	0.040404309	0.068039521	0.075758033	0.083466675	0.070111141	0.068499467	0.038296894	0.067753185	0.088937978	0.073300798	0.047326238
Shikimic acid	0.007664263	0.004664594	0.015462573	0.027991155	0.027192794	0.020839824	0.011641447	0.016497779	0.013514769	0.011895053	0.018043963	0.011445288	0.020900279	0.009244351	0.008364217	0.014129471	0.018437514	0.01660638	0.006272772
Anserine	0.870713652	1.324799029	1.025102011	1.240196612	0.737633286	0.658424979	0.89593772	1.170645375	0.924875274	0.936871643	0.846824067	0.732233455	0.927725855	0.818111971	0.653593754	0.684866951	0.813608439	0.529755025	1.049480314
Guanosine-5-tridiphosphate	4.86E-07	3.30E-07	1.02E-06	1.79E-06	3.82E-06	1.05E-06	6.06E-07	1.23E-06	9.13E-07	1.92E-06	1.37E-06	4.44E-07	9.90E-07	6.96E-07	5.54E-07	8.48E-07	1.27E-06	1.12E-06	1.55E-06
a-Ketoglutaric acid	0.292266819	0.14009873	0.33143407	0.305059377	0.583721129	0.25097525	0.185420063	0.181625681	0.281950017	0.620177066	0.243984228	0.234654002	0.31593902	0.34763081	0.199722687	1.266047671	9.815426857	1.414271609	0.887465484
Riboflavin-5-monophosphate(FMN)	0.000240372	7.83E-05	0.000394721	0.000169942	0.000183481	0.000100187	3.88E-05	0.000158687	0.0001476	0.000166797	0.000387868	0.000236914	0.000144124	0.000200265	0.000163685	0.000436701	0.001073372	0.000168627	0.000156901
3-phosphoglycerate	0.000171563	0.000167283	0.000375057	0.000646237	0.000615145	0.000425274	0.001066469	0.000405047	0.000182929	0.001155138	0.000312013	0.000169514	0.001542708	0.000138407	0.000306922	0.010855925	0.001815331	0.000979268	0.000240484
Dihydronicotinamide-adenine dinucleotide phosphate(b-NADPH)	2.42E-08	1.75E-08	3.94E-08	3.41E-08	3.18E-08	3.23E-08	1.81E-08	2.77E-08	3.13E-08	3.04E-08	2.62E-08	2.88E-08	4.56E-08	2.69E-08	4.06E-08	5.91E-08	5.36E-08	9.55E-08	1.91E-08
Succinyl-CoA	3.37E-09	2.63E-09	8.38E-09	4.58E-09	4.17E-09	5.00E-09	2.08E-09	4.27E-09	7.03E-09	3.24E-09	2.21E-09	2.47E-09	4.10E-09	3.74E-09	4.90E-09	5.51E-09	5.00E-09	4.39E-09	3.41E-09
Quinolinic Acid	0.003394875	0.001373105	0.002663891	0.002337043	0.001530004	0.003185967	0.000426544	0.001744974	0.003591166	0.003464265	0.00644473	0.001812826	0.005029612	0.003448031	0.00194435	0.008560132	0.005633536	0.006127088	0.002559164
Vitamin B1	0.190628045	0.157764584	0.093644895	0.271646375	0.098615225	0.393364788	0.106560106	0.230327105	0.219420876	0.144037052	0.066151069	0.081448932	0.09532764	0.185333725	0.217716612	0.133834884	0.188054714	0.108179715	0.203493261
Vitamin B5	0.000172551	0.000153126	0.000331625	0.00024244	0.000273589	0.00027612	0.000102042	0.0002314	0.000225116	0.000352765	0.000290738	0.000116165	0.000177652	0.000620029	0.000385735	0.000286433	0.000615546	0.000705237	0.000969275
Acetylcholine	0.099336569	0.068226303	0.04407422	0.044118547	0.029795121	0.066138542	0.073665494	0.341015248	0.128960961	0.405571653	0.030205125	0.081878972	0.054411516	0.041944915	0.031125972	0.014280009	0.005021022	0.018451681	0.022160244
Trimethylamine-N-oxide	0.022717613	0.026024856	0.013933609	0.053152565	0.019321145	0.006016237	0.004251539	0.014452625	0.077065117	0.030223783	0.011649087	0.007066236	0.005016639	0.017709226	0.339915282	0.014235709	0.024514336	0.09877962	0.700856207
Trimethylamine(TMA)	0.040434135	0.017382471	0.028256299	0.024722579	0.027725509	0.033163243	0.027216953	0.283070173	0.049133591	0.46412177	0.025863194	0.061661751	0.027427096	0.031217303	0.030633549	0.025889241	0.018827075	0.039927765	0.022961646
betaine	0.041501504	0.017440056	0.031282331	0.023996097	0.011814182	0.015923192	0.011999265	0.056253792	0.044591089	0.046018735	0.022990717	0.039554227	0.035212652	0.017991534	0.035011932	0.013357099	0.003228535	0.009917654	0.026246282
choline	2.346120731	1.160833502	1.889328528	1.46942754	1.371279302	1.625099481	1.602116886	10.44641901	3.148970172	13.70632705	1.558087743	3.832012449	1.510040321	1.939847827	1.518845627	1.120263571	0.484803419	1.359029409	1.352966565
creatinine	0.4756936	0.054090965	0.082242122	0.10558927	0.055916774	0.033325712	0.037737856	0.057182545	0.09091096	0.090199766	0.071962803	0.059310504	0.069204637	0.054201968	0.301087657	0.095611362	0.307471756	0.16939326	0.898740752
carnitine	0.08627007	0.041525346	0.039742558	0.062827353	0.084633234	0.030137453	0.032779828	0.088483282	0.139828946	0.176216638	0.035852913	0.036536193	0.069224951	0.05467823	0.044013229	0.039155831	0.11737114	0.060880883	0.140688405
Taurine	0.598497872	0.036707675	0.1868437	0.919129197	0.337839867	0.16175731	0.464879505	0.324032442	0.085595779	0.912603699	0.030630396	0.147563527	0.512215925	0.05008917	0.137082623	0.168629744	0.241325789	0.308096641	0.112677046
Lactate (D-lactate)	0.828211181	0.505262068	1.057001421	0.425779487	0.179814817	0.284611083	0.348281328	1.207258601	1.184113699	1.794882239	0.483496109	0.949056855	1.118792252	0.398411251	0.425709468	0.299327281	0.477105925	0.846041341	0.355158595
hydroxyproline	6.66E-05	3.72E-05	8.56E-05	0.00016603	6.19E-05	9.98E-05	5.73E-05	0.000133283	9.37E-05	0.000134134	9.02E-05	3.17E-05	0.00010353	0.000134097	6.82E-05	9.17E-05	0.000113244	9.58E-05	6.47E-05
dimethylamine	9.30E-07	4.93E-07	4.16E-07	4.25E-07	6.41E-07	1.12E-06	4.37E-07	2.53E-06	8.59E-07	4.45E-06	3.87E-07	4.33E-07	4.52E-07	4.50E-07	1.06E-06	1.35E-06	1.76E-06	1.08E-06	1.85E-06
Imidazole Propionate	15.50648833	5.374560201	4.833953517	14.79887361	6.236040252	5.487467421	5.667128172	4.570158386	8.83431194	10.56940883	0.678160753	3.41620375	4.691141038	10.03473717	2.04107873	2.048084445	6.035168647	4.09890239	1.625387282
Leucyl-Glycine	0.194033299	0.306900781	0.197315366	0.056806918	0.058551427	0.074842846	0.340720448	0.286712431	0.098238372	0.304986411	0.129150163	0.243161071	0.167205989	0.123638903	0.297477946	0.304498647	0.276412199	0.242215273	0.176151281
